latitude,longitude,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct
-29.19999999999931,-68.70000000000226,12.578408,85.28,84.04,484.81616,7.217189073562622,1.5902444,3.103538835048675,0.39030500492826636,0.05135436060307378,0.01201949403132187,0.0107421875,2.2394545
-29.19999999999931,-68.60000000000224,12.701759,74.4,73.12,467.5098,6.769182443618774,1.5171407,2.9492990732192985,0.3458684700470923,0.05312488591976052,0.016149198700397913,0.0107421875,2.5447462
-29.19999999999931,-68.50000000000222,12.808542,58.48,57.4,443.969,6.82757043838501,1.5838568,2.9525945425033555,0.33343828715365237,0.05391432117694302,0.019849961669039535,0.01171875,2.7651527
-29.29999999999931,-69.10000000000235,4.885496,196.8,180.52,258.95975,4.261279344558716,1.6034836,3.140655136108395,0.5433733070492461,0.10857700872485672,0.04207735552878473,0.041015625,5.6275873
-29.29999999999931,-69.00000000000233,4.015101,220.36,203.36,302.11423,4.554618835449219,1.5633999,2.8631913065910326,0.45968860657832294,0.09170225970138357,0.03438378417843975,0.029296875,4.6243305
-29.29999999999931,-68.90000000000231,6.5601697,170.68,164.56,369.962,5.6102821826934814,1.4955865,2.9373106837272633,0.4517577483298653,0.07404263863030701,0.022309531632168804,0.01953125,3.388405
-29.29999999999931,-68.80000000000229,11.539168,103.08,101.72,433.45776,6.764533996582031,1.6418447,3.196816158294677,0.42104278465301354,0.0535720804585113,0.01283174533639981,0.0107421875,2.3603885
-29.29999999999931,-68.70000000000226,14.70613,64.36,63.52,453.26047,6.925127267837524,1.6953233,3.2643205523490897,0.34865659109991604,0.04888566422078633,0.011932793049319169,0.009765625,2.1286848
-29.29999999999931,-68.60000000000224,14.271298,62.12,61.36,423.30655,6.453613996505737,1.5898169,3.050373411178589,0.3342140327820976,0.047302230496842256,0.01344321541999781,0.0087890625,2.1634316
-29.29999999999931,-68.50000000000222,12.918581,65.16,64.16,392.48337,6.19481348991394,1.6196921,3.0420075774192785,0.31717957142335634,0.04647172635344796,0.01563811922753988,0.0087890625,2.3017461
-29.399999999999313,-69.10000000000235,5.888348,170.8,159.56,306.17148,4.748946189880371,1.535921,2.8333342194557187,0.6216323513306319,0.09357773883838937,0.034922242908772314,0.029296875,4.8429937
-29.399999999999313,-69.00000000000233,3.7427897,225.04,206.88,344.54288,5.114124298095703,1.5136805,2.7699027061462402,0.4936251962180119,0.08916511517540977,0.033489395100938193,0.02734375,4.5580993
-29.399999999999313,-68.90000000000231,6.388869,171.6,164.92,401.04285,6.0151207447052,1.488039,2.9412153720855714,0.47435932537509584,0.07159219508633592,0.021141349979921877,0.017578125,3.324442
-29.399999999999313,-68.80000000000229,11.882988,95.28,94.04,456.1321,6.988449573516846,1.6803782,3.2468830823898314,0.430137261344139,0.05237195633921075,0.013155733216515168,0.0107421875,2.3176951
