km_inicio,km_fin,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m
98,99,3404.03125,3423.57177734375,3442.14111328125,38.10986328125
99,100,3436.31884765625,3458.549560546875,3487.53369140625,51.21484375
100,101,3483.357666015625,3505.35498046875,3520.325439453125,36.9677734375
101,102,3517.06982421875,3532.287109375,3552.2666015625,35.19677734375
102,103,3544.0810546875,3564.650146484375,3597.0615234375,52.98046875
103,104,3578.449951171875,3595.98974609375,3619.116455078125,40.66650390625
104,105,3610.851806640625,3629.827880859375,3651.236572265625,40.384765625
105,106,3641.5380859375,3664.9140625,3684.90673828125,43.36865234375
106,107,3680.457275390625,3704.375,3727.670654296875,47.21337890625
107,108,3721.975830078125,3746.252685546875,3770.971435546875,48.99560546875
108,109,3765.29443359375,3786.123779296875,3805.17236328125,39.8779296875
109,110,3800.961669921875,3832.97509765625,3861.087158203125,60.12548828125
110,111,3858.039794921875,3889.077880859375,3915.505859375,57.466064453125
111,112,3912.51123046875,3937.65625,3959.341064453125,46.829833984375
112,113,3956.44873046875,3983.104248046875,4008.548095703125,52.099365234375
113,114,3996.66259765625,4013.34912109375,4026.213623046875,29.551025390625
114,115,3943.095947265625,3970.54052734375,3998.507080078125,55.4111328125
115,116,3886.75341796875,3922.2998046875,3944.876953125,58.12353515625
116,117,3829.187744140625,3861.242919921875,3890.5576171875,61.369873046875
117,118,3796.521728515625,3813.54541015625,3835.231689453125,38.7099609375
118,119,3754.638427734375,3777.164794921875,3799.598876953125,44.96044921875
119,120,3706.09765625,3730.479248046875,3757.64404296875,51.54638671875
120,121,3670.923095703125,3687.307861328125,3707.034423828125,36.111328125
121,122,3652.0966796875,3660.348388671875,3671.552734375,19.4560546875
122,123,3646.056884765625,3649.33984375,3653.865478515625,7.80859375
123,124,3647.5654296875,3653.314697265625,3661.1171875,13.5517578125
124,125,3655.9296875,3673.507080078125,3694.862548828125,38.932861328125
125,126,3691.96728515625,3719.225830078125,3741.103759765625,49.136474609375
126,127,3737.4501953125,3740.5537109375,3745.4326171875,7.982421875
127,128,3737.415771484375,3741.611328125,3744.180419921875,6.7646484375
128,129,3709.36328125,3725.88916015625,3741.1064453125,31.7431640625
129,130,3670.162841796875,3689.69970703125,3709.4150390625,39.252197265625
