km_inicio,km_fin,s_inicio_km,s_fin_km,longitud_traza_km,factor_local,metodo_calibracion,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m,elev_inicio_m,elev_fin_m,desnivel_neto_m,pendiente_neta_pct,pendiente_media_abs_pct,pendiente_max_abs_pct,n_muestras,buffer_m,pendiente_terreno_media_pct,pendiente_terreno_p90_pct,relieve_local_m,n_celdas_pendiente,n_celdas_elevacion,buffer_hidrologia_m,drenaje_secundario_50m,drenaje_principal_50m,n_drenajes_secundarios_50m,n_drenajes_principales_50m,acumulacion_max_50m_celdas,area_aportante_max_50m_km2,latitud_centro,longitud_centro,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct,metodo_clima
20,21,18.242804,19.154944,0.908651,0.908651,solo_puntos_confianza_alta,1365.937255859375,1377.24072265625,1399.802734375,33.865478515625,1366.6826171875,1394.861572265625,28.178955078125,3.095711551427107,3.2080078125000004,12.290445963541668,32,250.0,6.1962199211120605,16.42278480529785,92.199462890625,778,778,50.0,0,0,0,0,83.0,0.0654972495112067,-29.363682001365785,-68.60018213939131,14.822137114042782,54.78888768096694,54.130633171642046,414.6910090640128,6.381810302190928,1.599102956283314,3.064969881628961,0.3165868234902728,0.0448211522352331,0.0113539281716195,0.0081689466603769,1.960835750037324,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
21,22,19.154944,20.067084,0.850312,0.850312,solo_puntos_confianza_alta,1393.492919921875,1415.0921630859375,1429.908447265625,36.41552734375,1394.861572265625,1420.084716796875,25.22314453125,2.964404134296324,9.220203218005953,32.682698567708336,30,250.0,21.76388931274414,41.00636291503906,106.72021484375,676,676,50.0,0,0,0,0,1011.0,0.7978038464557833,-29.35770967096502,-68.60391740838476,14.781601914508489,55.578585929817976,54.90778747665708,417.0673012043116,6.413229460244686,1.6026272061307307,3.072345117522824,0.3187835751247269,0.0451787639271463,0.0115459164837083,0.008263747435711,1.9835587656815687,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
22,23,20.067084,20.979224,0.854235,0.854235,solo_puntos_confianza_alta,1417.100341796875,1439.5384521484375,1460.326416015625,43.22607421875,1420.084716796875,1459.9896240234375,39.9049072265625,4.674328400568145,7.890377952938989,27.983805338541668,30,250.0,26.88627052307129,47.74557495117188,128.0655517578125,723,723,50.0,0,0,0,0,866.0,0.6833809406831932,-29.359338196621728,-68.60981560344588,14.812739197103372,55.55303424363241,54.88012287547336,419.3462648422324,6.450732193303946,1.6098031992330326,3.086510321179817,0.3191867381837131,0.0453168496452325,0.0114905610648126,0.0083054434259885,1.98463321890428,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
23,24,20.979224,21.891364,0.869406,0.869406,solo_puntos_confianza_alta,1458.337646484375,1483.5802001953125,1503.1593017578125,44.8216552734375,1459.9896240234375,1502.091064453125,42.1014404296875,4.846713076812972,5.209932992126262,13.142496744791668,30,250.0,18.22734832763672,33.599937438964844,92.240478515625,738,738,50.0,0,0,0,0,411.0,0.3243297536036864,-29.356537260964277,-68.61543833730063,14.80598906074712,56.02604496191572,55.344153909620935,422.0114647817022,6.48987655706087,1.6159241865051073,3.098881554004033,0.3207775189012279,0.0456035451915573,0.0115685599018746,0.0083877058235686,1.9983712660064417,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
24,25,21.891364,22.803505,0.787344,0.787344,solo_puntos_confianza_alta,1432.9859619140625,1471.884033203125,1506.197021484375,73.2110595703125,1502.091064453125,1439.0284423828125,-63.0626220703125,-8.005634797946904,10.337039262820513,26.741129557291664,28,250.0,15.340157508850098,30.419416427612305,81.64794921875,669,669,50.0,0,0,0,0,172.0,0.1357292399509344,-29.355966425851484,-68.62206150473129,14.82114000523643,56.27056054752353,55.58245762510377,424.81917281824457,6.533498368328872,1.623562927518459,3.11412674424866,0.3218951248960576,0.0458406895638682,0.0115757580802896,0.008457959754657,2.006326068792178,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
25,26,22.803505,23.753001,0.91665,0.91665,solo_puntos_confianza_alta,1431.5550537109375,1440.9129638671875,1453.48095703125,21.9259033203125,1439.0284423828125,1452.1859130859375,13.157470703125,1.4345170720712002,3.753445095486111,10.971272786458334,32,250.0,13.175137519836426,27.217548370361328,65.2445068359375,780,780,50.0,1,0,1,0,3040.0,2.3989354037839576,-29.35025837398375,-68.62725308369919,14.791135500522376,57.05575882830885,56.35436975972641,427.4317785874538,6.568902921283662,1.6285004996125656,3.1244124730361165,0.3242283264068252,0.0461868828301091,0.0117176389591781,0.0085644014620361,2.0258480172035136,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
26,27,23.753001,24.702498,0.934837,0.934837,solo_puntos_confianza_alta,1450.8997802734375,1459.8868408203125,1465.8297119140625,14.929931640625,1452.1859130859375,1463.7645263671875,11.57861328125,1.2371185800925864,4.384030577956989,18.434244791666668,33,250.0,8.950010299682617,18.898099899291992,62.37158203125,783,783,50.0,0,0,0,0,591.0,0.4663719814593154,-29.34309977110013,-68.6290623762683,14.739960499514332,57.911120465781465,57.19683019852993,428.7096432042937,6.581845477694978,1.6291528330152298,3.126301669685013,0.3264731980042618,0.0464595624363434,0.0118965363547854,0.0086519785660667,2.045285809642982,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
27,28,24.702498,25.651994,0.941716,0.941716,solo_puntos_confianza_alta,1463.44287109375,1475.5032958984375,1484.5396728515625,21.0968017578125,1463.7645263671875,1480.5416259765625,16.777099609375,1.781690268802255,3.437723139280914,10.487060546875,33,250.0,10.606245994567873,23.905054092407227,70.5240478515625,799,799,50.0,0,0,0,0,1031.0,0.8135863162175199,-29.33757686437992,-68.63585118931377,14.719474289451476,58.707374587338265,57.97881661889801,431.6921363460983,6.623258414359471,1.63572021876764,3.1399116219873746,0.328985442579133,0.0468115373515614,0.0119983367257033,0.0087722102044034,2.0627211004955743,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
28,29,25.651994,26.601491,0.890621,0.890621,solo_puntos_confianza_alta,1479.7607421875,1499.6165771484375,1522.4267578125,42.666015625,1480.5416259765625,1517.7496337890625,37.2080078125,4.1753897549117935,5.825927734375001,14.037679036458334,31,250.0,13.160894393920898,25.917207717895508,76.233154296875,741,741,50.0,0,0,0,0,1031.0,0.8135863162175199,-29.331643822124693,-68.64066092883276,14.690573844160138,59.49351654170631,58.7516179140425,433.8181133315254,6.650779009567011,1.6398273105435974,3.148680903187515,0.3313243508268887,0.0471010583959695,0.0121055498045828,0.0088771201826672,2.0785333760090112,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
29,30,26.601491,27.550988,0.882798,0.882798,solo_puntos_confianza_alta,1517.7496337890625,1532.7813720703125,1550.5269775390625,32.77734375,1517.7496337890625,1545.225341796875,27.4757080078125,3.108153768195241,5.064556954920977,17.23876953125,31,250.0,12.14033317565918,24.02505111694336,54.4072265625,746,746,50.0,0,0,0,0,697.0,0.5500190711965193,-29.327472927975247,-68.64612789916004,14.67876921970967,60.094834188211166,59.34188855364644,435.9851197880271,6.680710969406476,1.6449619903135972,3.159384927649132,0.333270005065952,0.047344648383968,0.0121550756152455,0.0089712399529477,2.089464137422908,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
